Unnamed: 0,csa_code_origin,csa_code_dest,CarrID,yearq,Segid,seg_entry_tplus1,Dist,Dist_sq,pop_origin,pop_dest,ln2002pssgrdens,seg_entry_t,nonstop_comps,orig_share,dest_share,any_origin,any_dest,scheduled_flights,fstseats,busseats,ecoseats,scheduled_aircraft_max_take_off_weight,scheduled_aircraft_hold_volume,scheduled_aircraft_range_stat_miles,capacity_t,capacity_tplus1
3588,6,20,12,15,299,1,0.533932399,0.285083807,1182625,4484542,11.63571815,0,1,0.213303778,0.040169575,1,1,0,0,0,0,0,0,0,0,0
3606,6,22,6,15,301,0,0.095827634,0.009182935,1182625,18825633,11.20758167,1,2,0.014521615,0.014570107,1,1,0,0,0,0,0,0,0,0,0
3610,6,22,10,15,301,0,0.095827634,0.009182935,1182625,18825633,11.20758167,1,2,0.085629454,0.057405747,1,1,0,0,0,0,0,0,0,0,0
3649,6,26,1,15,305,1,1.502336202,2.257014064,1182625,5484883,8.085794701,0,4,0.110524977,0.027511681,1,1,0,0,0,0,0,0,0,0,0
3670,6,27,10,15,306,1,0.72597977,0.527046627,1182625,1671898,8.056743775,0,2,0.085629454,0.012885999,1,1,0,0,0,0,0,0,0,0,0
3672,6,27,12,15,306,1,0.72597977,0.527046627,1182625,1671898,8.056743775,0,2,0.213303778,0.137295662,1,1,0,0,0,0,0,0,0,0,0
3683,6,28,11,15,307,0,0.925131779,0.855868808,1182625,1279132,7.661056382,1,2,0.097668483,0.156220451,1,1,0,0,0,0,0,0,0,0,0
3716,6,31,8,15,310,0,1.033544968,1.0682152,1182625,1999994,12.29796791,1,5,0.175283529,0.147452746,1,1,0,0,0,0,0,0,0,0,0
3719,6,31,11,15,310,0,1.033544968,1.0682152,1182625,1999994,12.29796791,1,5,0.097668483,0.080456576,1,1,0,0,0,0,0,0,0,0,0
3812,6,39,8,15,318,0,1.412000424,1.993745198,1182625,1174737,5.673323267,1,0,0.175283529,0.404070303,1,1,0,0,0,0,0,0,0,0,0
3839,6,41,11,15,320,1,0.384030673,0.147479558,1182625,1672386,7.666221926,0,0,0.097668483,0.056039778,1,1,0,0,0,0,0,0,0,0,0
3912,6,47,12,15,326,1,0.52237603,0.272876717,1182625,998979,10.01301438,0,4,0.213303778,0.2160573,1,1,0,0,0,0,0,0,0,0,0
3932,6,49,8,15,328,0,1.170944076,1.371110029,1182625,565956,5.204006687,1,4,0.175283529,0.28823068,1,1,0,0,0,0,0,0,0,0,0
3964,6,52,4,15,331,1,0.730038507,0.532956221,1182625,1222544,4.343805422,0,1,0.016971687,0,1,0,0,0,0,0,0,0,0,0,0
3972,6,52,12,15,331,1,0.730038507,0.532956221,1182625,1222544,4.343805422,0,1,0.213303778,0.348233459,1,1,0,0,0,0,0,0,0,0,0
4000,6,55,4,15,334,0,2.026685473,4.107454006,1182625,1072748,7.332369206,1,2,0.016971687,0.01184939,1,1,2,16,0,136,71,45,3368,2,0
4001,6,55,5,15,334,0,2.026685473,4.107454006,1182625,1072748,7.332369206,1,2,0.210162808,0.472899442,1,1,2,16,0,136,71,45,3368,2,0
4003,6,55,7,15,334,0,2.026685473,4.107454006,1182625,1072748,7.332369206,1,2,0.075933669,0.015601396,1,1,2,16,0,136,71,45,3368,2,0
4036,6,58,4,15,337,1,1.102324364,1.215119005,1182625,2684639,11.57577819,0,5,0.016971687,0.067461411,1,1,0,0,0,0,0,0,0,0,0
4045,6,59,1,15,338,0,1.302262709,1.695888162,1182625,892635,0,1,0,0.110524977,0.153626209,1,1,0,0,0,0,0,0,0,0,0
4076,7,8,8,15,340,1,0.176332568,0.031093175,1103572,1489156,10.62152245,0,1,0.331344498,0.22735382,1,1,0,0,0,0,0,0,0,0,2
4200,7,18,12,15,350,0,0.595990362,0.355204512,1103572,5999411,11.58862645,1,1,0.408380714,0.100420687,1,1,0,0,0,0,0,0,0,0,0
4232,7,21,8,15,353,1,1.148135572,1.318215292,1103572,720756,0,0,0,0.331344498,0.126503543,1,1,0,0,0,0,0,0,0,0,0
4253,7,23,5,15,355,0,0.661461252,0.437530988,1103572,4201036,9.658290092,1,2,0.139074061,0.124659824,1,1,1,0,0,50,21,9,1529,1,0
4285,7,26,1,15,358,0,0.563128947,0.317114211,1103572,5484883,11.88748453,1,3,0.067307029,0.027511681,1,1,0,0,0,0,0,0,0,0,0
4346,7,31,2,15,363,1,0.47255495,0.223308181,1103572,1999994,10.48899384,0,2,0,0.006885843,0,1,0,0,0,0,0,0,0,0,0
4400,7,35,8,15,367,1,0.856887305,0.734255853,1103572,3167666,5.176149733,0,1,0.331344498,0.181957529,1,1,0,0,0,0,0,0,0,0,0
4414,7,36,10,15,368,0,0.322295954,0.103874682,1103572,987535,11.35723026,1,0,0.000280833,0.064279433,1,1,0,0,0,0,0,0,0,0,0
